ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInPage,remarks
968,967,Melittia eurytion eurytion,"(Westwood, 1848)",subspecies,,Melittia,,eurytion,eurytion,,Westwood_1848,Westwood 1848,
969,969,Melittia eurytion formosana,"Matsumura, 1911",subspecies,,Melittia,,eurytion,formosana,,Matsumura_1911,86,"transferred to M. eurytion by Kallies, Arita & Min (2016)"
970,970,Melittia eurytion f. microfenestrata,"Strand, [1916]",form,,Melittia,,eurytion,microfenestrata,not established,Strand_1916,45,infrasubspecific (unavailable)
971,971,Melittia nagaii,"Arita & Gorbunov, 1997",species,,Melittia,,nagaii,,,Arita_Gorbunov_1997,33,"synonymized by Kallies, Arita & Min (2016)"
972,972,Melittia inouei,"Arita & Yata, 1987",species,,Melittia,,inouei,,,Arita_Yata_1987,164,
973,973,Melittia sangaica,"Moore, 1877",species,,Melittia,,sangaica,,,Moore_1877,84,
974,974,Melittia sangaica sangaica,"Moore, 1877",subspecies,,Melittia,,sangaica,sangaica,,Moore_1877,Moore 1877,
975,975,Melittia humerosa,"Swinhoe, 1892",species,,Melittia,,humerosa,,,Swinhoe_1892,38,
976,976,Melittia sangaica nipponica,"Arita & Yata, 1987",subspecies,,Melittia,,sangaica,nipponica,,Arita_Yata_1987,158,
977,977,Melittia arcangelii,"Giacomelli, 1911",species,,Melittia,,arcangelii,,,Giacomelli_1911,29,
978,978,Melittia bergii,"Edwards, 1883",species,,Melittia,,bergii,,,Edwards_1883,157,
979,979,Melittia brabanti,"Le Cerf, 1917",species,,Melittia,,brabanti,,,Le_Cerf_1917,212,
980,980,Melittia butleri,"Druce, 1883",species,,Melittia,,butleri,,,Druce_1881_1900,32,
981,981,Melittia chimana,"Le Cerf, 1916",species,,Melittia,,chimana,,,Le_Cerf_1916b,9,
982,982,Melittia cyaneifera,"Walker, 1856",species,,Melittia,,cyaneifera,,,Walker_1856,67,
983,983,Melittia cyaneifera var. reducta,"Le Cerf, 1917",variety,,Melittia,,cyaneifera,reducta,,Le_Cerf_1917,218,
984,984,Melittia funesta,"Le Cerf, 1917",species,,Melittia,,funesta,,,Le_Cerf_1917,164,
985,985,Melittia hervei,"Le Cerf, 1917",species,,Melittia,,hervei,,,Le_Cerf_1917,166,
986,986,Melittia imperator,"Rothschild, 1911",species,,Melittia,,imperator,,,Rothschild_1911,45,
987,987,Melittia josepha,"Le Cerf, 1916",species,,Melittia,,josepha,,,Le_Cerf_1916b,8,
988,988,Melittia lagopus,"Boisduval, [1875]",species,,Melittia,,lagopus,,,Boisduval_1875,475,
989,989,Melittia latimargo,"Butler, 1874",species,,Melittia,,latimargo,,,Butler_1874,410,
990,990,Melittia louisa,"Le Cerf, 1916",species,,Melittia,,louisa,,,Le_Cerf_1916b,9,
991,991,Melittia oberthueri,"Le Cerf, 1916",species,,Melittia,,oberthueri,,,Le_Cerf_1916b,9,
992,992,Melittia pauper,"Le Cerf, 1916",species,,Melittia,,pauper,,,Le_Cerf_1916b,9,
993,993,Melittia powelli,"Le Cerf, 1917",species,,Melittia,,powelli,,,Le_Cerf_1917,210,
994,994,Melittia powelli var. chrysescens,"Schade, 1939",variety,,Melittia,,powelli,chrysescens,,Schade_1939,230,
995,995,Melittia rugia,"Druce, 1910",species,,Melittia,,rugia,,,Druce_1910b,180,
996,996,Melittia scoliiformis,"Schade, 1938",species,,Melittia,,scoliiformis,,,Schade_1938,471,
997,997,Melittia smithi,"Druce, 1889",species,,Melittia,,smithi,,,Druce_1889,81,
998,998,Melittia sulphureopyga,"Le Cerf, 1916",species,,Melittia,,sulphureopyga,,,Le_Cerf_1916b,8,
999,999,Melittia superba,"Rothschild, 1909",species,,Melittia,,superba,,,Rothschild_1909,132,[nec Melittia superba Barnes & Lindsey 1922]
1000,1000,Melittia tayuyana,"Bruch, 1941",species,,Melittia,,tayuyana,,,Bruch_1941,163,
1001,1001,Melittia umbrosa,"Zukowsky, 1936",species,,Melittia,,umbrosa,,,Zukowsky_1936_1937,1251,
1002,1002,Melittia xanthopus,"Le Cerf, 1916",species,,Melittia,,xanthopus,,,Le_Cerf_1916b,9,
1003,1003,Melittia abyssiniensis,"Hampson, 1919",species,,Melittia,,abyssiniensis,,,Hampson_1919,95,
1004,1004,Melittia acosmetes,"Hampson, 1919",species,,Melittia,,acosmetes,,,Hampson_1919,86,
1005,1005,Melittia ambo,"Gorbunov, 2015",species,,Melittia,,ambo,,,Gorbunov_2015a,548,
1006,1007,Melittia aureosquamata,"(Wallengren, 1863)",species,,Melittia,,aureosquamata,,,Wallengren_1863,137,
1007,1007,Parasa aureosquamata,"Wallengren, 1863",species,,Parasa,,aureosquamata,,,Wallengren_1863,137,
1008,1008,Melittia auriplumia,"Hampson, 1910",species,,Melittia,,auriplumia,,,Hampson_1910c,506,
1009,1010,Melittia aurociliata,"(Aurivillius, 1879)",species,,Melittia,,aurociliata,,,Aurivillius_1879,47,
1010,1010,Pansa aurociliata,"Aurivillius, 1879",species,,Pansa,,aurociliata,,,Aurivillius_1879,47,
1011,1011,Melittia azrael,"Le Cerf, 1914",species,,Melittia,,azrael,,,Le_Cerf_1914a,61,
1012,1012,Melittia boulleti,"Le Cerf, 1917",species,,Melittia,,boulleti,,,Le_Cerf_1917,222,
1013,1013,Melittia chalconota,"Hampson, 1910",species,,Melittia,,chalconota,,,Hampson_1910a,149,
1014,1014,Melittia chrysobapta,"Hampson, 1919",species,,Melittia,,chrysobapta,,,Hampson_1919,86,
1015,1015,Melittia congoana,"Le Cerf, 1916",species,,Melittia,,congoana,,,Le_Cerf_1916b,8,
1016,1016,Melittia ectothyris,"Hampson, 1919",species,,Melittia,,ectothyris,,,Hampson_1919,94,
1017,1017,Melittia endoxantha,"Hampson, 1919",species,,Melittia,,endoxantha,,,Hampson_1919,85,
1018,1018,Melittia fiebigi,"Bartsch, 2016",species,,Melittia,,fiebigi,,,Bartsch_2016b,110,
1019,1019,Melittia gephyra,"Gaede, 1933",species,,Melittia,,gephyra,,,Gaede_1933,230,erroneously assigned to Oriental region by Pühringer & Kallies (2004)
1020,1020,Melittia houlberti,"Le Cerf, 1917",species,,Melittia,,houlberti,,,Le_Cerf_1917,233,
1021,1021,Melittia hyaloxantha,"Meyrick, 1928",species,,Melittia,,hyaloxantha,,,Meyrick_1928,467,
1022,1022,Melittia ignidiscata,"Hampson, 1910",species,,Melittia,,ignidiscata,,,Hampson_1910c,507,resurrected from synonymy with Melittia oedipus by Bartsch (2016b)
1023,1023,Melittia laboissierei,"Le Cerf, 1917",species,,Melittia,,laboissierei,,,Le_Cerf_1917,229,
1024,1025,Melittia laniremis,"(Wallengren, 1859)",species,,Melittia,,laniremis,,,Wallengren_1859,84,
1025,1025,Eumallopoda laniremis,"Wallengren, 1859",species,,Eumallopoda,,laniremis,,,Wallengren_1859,84,
1026,1026,Melittia lentistriata,"Hampson, 1919",species,,Melittia,,lentistriata,,,Hampson_1919,93,
